捞抚,惫,康,荐,苞,乞闭,切痢
切积84,98.0,57.06990788126919,88.0,64.0,76.76747697031729,C
切积85,88.0,90.0,62.0,72.0,78.0,C
切积86,92.0,70.0,56.16032972694487,60.420972335231895,69.64532551554419,F
切积87,63.0,60.0,31.0,70.0,56.0,F
切积88,54.0,50.0,56.16032972694487,88.0,62.04008243173622,F
切积89,64.0,3.0,73.0,83.0,55.75,F
切积90,83.0,91.0,32.0,99.0,76.25,C
切积91,5.0,55.0,11.0,65.0,34.0,F
切积92,7.0,40.0,10.0,3.0,15.0,F
切积93,55.0,46.0,74.0,35.0,52.5,F
切积94,97.0,70.0,20.0,27.0,53.5,F
切积95,92.0,61.0,42.0,88.0,70.75,C
切积96,16.0,10.0,41.0,55.0,30.5,F
切积97,47.0,33.0,64.0,65.0,52.25,F
切积98,14.0,40.0,90.0,41.0,46.25,F
切积99,3.0,74.0,48.0,49.0,43.5,F
切积100,52.0,64.0,68.0,85.0,67.25,F
切积101,26.0,87.0,93.0,36.0,60.5,F
切积102,30.0,51.0,30.0,62.0,43.25,F
切积103,72.0,44.0,80.0,13.0,52.25,F
切积104,35.0,49.0,30.0,41.0,38.75,F
切积105,52.0,60.0,1.0,14.0,31.75,F
切积106,12.0,65.0,86.0,76.0,59.75,F
切积107,79.0,21.0,11.0,41.0,38.0,F
切积108,13.0,33.0,72.0,92.0,52.5,F
切积109,57.0,68.0,33.0,33.0,47.75,F
切积110,48.0,44.0,37.0,83.0,53.0,F
切积111,66.0,88.0,81.0,66.0,75.25,C
切积112,44.0,15.0,44.0,46.0,37.25,F
切积113,99.0,2.0,96.0,90.0,71.75,C
切积114,57.0,4.0,12.0,85.0,39.5,F
切积115,4.0,77.0,57.0,83.0,55.25,F
切积116,74.0,23.0,52.0,64.0,53.25,F
切积117,84.0,58.0,70.0,25.0,59.25,F
切积118,96.0,95.0,10.0,4.0,51.25,F
切积119,83.0,7.0,64.0,9.0,40.75,F
切积120,67.0,38.0,63.0,26.0,48.5,F
切积121,50.0,72.0,14.0,86.0,55.5,F
切积122,60.0,28.0,49.0,59.0,49.0,F
切积123,71.0,11.0,49.0,62.0,48.25,F
切积124,32.0,63.0,31.0,96.0,55.5,F
切积125,72.0,6.0,73.0,22.0,43.25,F
切积126,29.0,93.0,2.0,85.0,52.25,F
切积127,60.26651228352799,56.0,64.0,24.0,51.066628070882,F
切积128,98.0,57.06990788126919,88.0,64.0,76.76747697031729,C
切积129,88.0,90.0,62.0,72.0,78.0,C
切积130,92.0,70.0,55.0,60.420972335231895,69.35524308380798,F
切积131,63.0,60.0,55.0,70.0,62.0,F
切积132,21.0,50.0,55.0,88.0,53.5,F
切积133,98.0,57.06990788126919,88.0,64.0,76.76747697031729,C
切积134,88.0,90.0,62.0,72.0,78.0,C
切积135,92.0,70.0,75.0,85.0,80.5,B
切积136,63.0,60.0,31.0,70.0,56.0,F
切积137,54.0,50.0,23.0,88.0,53.75,F
切积138,64.0,54.0,73.0,83.0,68.5,F
切积139,89.0,36.0,63.0,14.0,50.5,F
切积140,83.0,26.0,81.0,98.0,72.0,C
切积141,18.0,51.0,17.0,6.0,23.0,F
切积142,63.0,60.0,55.0,70.0,62.0,F
切积143,21.0,50.0,55.0,88.0,53.5,F
切积144,98.0,57.06990788126919,88.0,64.0,76.76747697031729,C
切积145,88.0,90.0,62.0,72.0,78.0,C
切积146,92.0,70.0,75.0,85.0,80.5,B
切积147,63.0,60.0,31.0,70.0,56.0,F
切积148,54.0,50.0,23.0,88.0,53.75,F
切积149,64.0,54.0,73.0,83.0,68.5,F
切积150,89.0,36.0,63.0,14.0,50.5,F
切积151,83.0,26.0,81.0,98.0,72.0,C
切积152,18.0,51.0,17.0,6.0,23.0,F
切积153,33.0,95.0,77.0,95.0,75.0,C
切积154,86.0,34.0,31.0,18.0,42.25,F
切积155,61.0,31.0,97.0,69.0,64.5,F
切积156,79.0,87.0,93.0,86.0,86.25,B
切积157,68.0,75.0,10.0,58.0,52.75,F
切积158,36.0,59.0,90.0,54.0,59.75,F
切积159,55.0,25.0,13.0,30.0,30.75,F
切积160,63.0,60.0,55.0,70.0,62.0,F
切积161,21.0,50.0,55.0,88.0,53.5,F
切积162,98.0,57.06990788126919,88.0,64.0,76.76747697031729,C
切积163,88.0,90.0,62.0,72.0,78.0,C
切积164,92.0,70.0,75.0,85.0,80.5,B
切积165,63.0,60.0,31.0,70.0,56.0,F
切积166,54.0,50.0,23.0,88.0,53.75,F
切积167,64.0,54.0,73.0,83.0,68.5,F
切积168,89.0,36.0,63.0,14.0,50.5,F
切积169,83.0,26.0,81.0,98.0,72.0,C
切积170,18.0,51.0,17.0,6.0,23.0,F
切积171,73.0,89.0,73.0,78.0,78.25,C
切积172,45.0,11.0,99.0,81.0,59.0,F
切积173,88.0,10.0,87.0,7.0,48.0,F
切积174,10.0,67.0,56.0,93.0,56.5,F
切积175,97.0,82.0,93.0,67.0,84.75,B
切积176,4.0,86.0,62.0,94.0,61.5,F
切积177,72.0,47.0,72.0,89.0,70.0,C
切积178,13.0,56.0,64.0,34.0,41.75,F
切积179,46.0,56.0,39.0,24.0,41.25,F
切积180,70.0,41.0,86.0,93.0,72.5,C
切积181,20.0,88.0,73.0,46.0,56.75,F
切积182,63.0,60.0,55.0,70.0,62.0,F
切积183,21.0,50.0,55.0,88.0,53.5,F
切积184,98.0,90.0,88.0,64.0,85.0,B
切积185,88.0,90.0,62.0,72.0,78.0,C
切积186,92.0,70.0,75.0,85.0,80.5,B
切积187,63.0,60.0,31.0,70.0,56.0,F
切积188,54.0,50.0,23.0,88.0,53.75,F
切积189,64.0,54.0,73.0,83.0,68.5,F
切积190,89.0,36.0,63.0,14.0,50.5,F
切积191,83.0,26.0,81.0,98.0,72.0,C
切积192,18.0,51.0,17.0,6.0,23.0,F
切积193,74.0,85.0,95.0,70.0,81.0,B
切积194,46.0,56.0,39.0,24.0,41.25,F
切积195,70.0,41.0,86.0,93.0,72.5,C
切积196,20.0,88.0,73.0,46.0,56.75,F
切积197,63.0,60.0,55.0,70.0,62.0,F
切积198,21.0,50.0,55.0,88.0,53.5,F
切积199,98.0,90.0,88.0,64.0,85.0,B
切积200,88.0,90.0,62.0,72.0,78.0,C
切积201,92.0,70.0,75.0,85.0,80.5,B
切积202,63.0,60.0,31.0,70.0,56.0,F
切积203,54.0,50.0,23.0,88.0,53.75,F
切积204,64.0,54.0,73.0,83.0,68.5,F
切积205,89.0,36.0,63.0,14.0,50.5,F
切积206,83.0,26.0,81.0,98.0,72.0,C
切积207,18.0,51.0,17.0,6.0,23.0,F
切积208,42.0,92.0,61.0,10.0,51.25,F
切积209,46.0,56.0,39.0,24.0,41.25,F
切积210,70.0,41.0,86.0,93.0,72.5,C
切积211,20.0,88.0,73.0,46.0,56.75,F
切积212,63.0,60.0,55.0,70.0,62.0,F
切积213,21.0,50.0,55.0,88.0,53.5,F
切积214,98.0,90.0,88.0,64.0,85.0,B
切积215,88.0,90.0,62.0,72.0,78.0,C
切积216,92.0,70.0,75.0,85.0,80.5,B
切积217,63.0,60.0,31.0,70.0,56.0,F
切积218,54.0,50.0,23.0,88.0,53.75,F
切积219,64.0,54.0,73.0,83.0,68.5,F
切积220,89.0,36.0,63.0,14.0,50.5,F
切积221,83.0,26.0,81.0,98.0,72.0,C
切积222,18.0,51.0,17.0,6.0,23.0,F
切积223,62.0,69.0,84.0,80.0,73.75,C
切积224,54.0,34.0,56.0,46.0,47.5,F
切积225,40.0,67.0,26.0,96.0,57.25,F
切积226,55.0,85.0,46.0,81.0,66.75,F
切积227,35.0,53.0,86.0,12.0,46.5,F
切积228,42.0,59.0,79.0,10.0,47.5,F
切积229,20.0,83.0,28.0,69.0,50.0,F
切积230,14.0,53.0,19.0,32.0,29.5,F
切积231,77.0,75.0,75.0,98.0,81.25,B
切积232,45.0,30.0,62.0,89.0,56.5,F
切积233,69.0,47.0,71.0,90.0,69.25,F
切积234,51.0,57.0,16.0,0.0,31.0,F
切积235,28.0,69.0,8.0,6.0,27.75,F
切积236,55.0,46.0,97.0,73.0,67.75,F
切积237,52.0,79.0,44.0,16.0,47.75,F
切积238,33.0,62.0,83.0,0.0,44.5,F
切积239,79.0,12.0,53.0,43.0,46.75,F
切积240,55.0,56.0,92.0,40.0,60.75,F
切积241,46.0,56.0,39.0,24.0,41.25,F
切积242,70.0,41.0,86.0,93.0,72.5,C
切积243,20.0,88.0,73.0,46.0,56.75,F
切积244,63.0,60.0,55.0,70.0,62.0,F
切积245,21.0,50.0,55.0,88.0,53.5,F
切积246,98.0,90.0,88.0,64.0,85.0,B
切积247,88.0,90.0,62.0,72.0,78.0,C
切积248,92.0,70.0,75.0,85.0,80.5,B
切积249,63.0,60.0,31.0,70.0,56.0,F
切积250,54.0,50.0,23.0,88.0,53.75,F
切积251,64.0,54.0,73.0,83.0,68.5,F
切积252,89.0,36.0,63.0,14.0,50.5,F
切积253,83.0,26.0,81.0,98.0,72.0,C
切积254,18.0,51.0,17.0,6.0,23.0,F
切积255,46.0,56.0,39.0,24.0,41.25,F
切积256,70.0,41.0,86.0,93.0,72.5,C
切积257,20.0,88.0,73.0,46.0,56.75,F
切积258,63.0,60.0,55.0,70.0,62.0,F
切积259,21.0,50.0,55.0,88.0,53.5,F
切积260,98.0,90.0,88.0,64.0,85.0,B
切积261,88.0,90.0,62.0,72.0,78.0,C
切积262,92.0,70.0,75.0,85.0,80.5,B
切积263,63.0,60.0,31.0,70.0,56.0,F
切积264,54.0,50.0,23.0,88.0,53.75,F
切积265,64.0,54.0,73.0,83.0,68.5,F
切积266,89.0,36.0,63.0,14.0,50.5,F
切积267,83.0,26.0,81.0,98.0,72.0,C
切积268,18.0,51.0,17.0,6.0,23.0,F
切积269,37.0,27.0,97.0,62.0,55.75,F
切积270,70.0,20.0,63.0,0.0,38.25,F
切积271,85.0,98.0,24.0,53.0,65.0,F
切积272,94.0,77.0,76.0,99.0,86.5,B
切积273,96.0,39.0,77.0,12.0,56.0,F
切积274,46.0,56.0,39.0,24.0,41.25,F
切积275,70.0,41.0,86.0,93.0,72.5,C
切积276,20.0,88.0,73.0,46.0,56.75,F
切积277,63.0,60.0,55.0,70.0,62.0,F
切积278,21.0,50.0,55.0,88.0,53.5,F
切积279,98.0,90.0,88.0,64.0,85.0,B
切积280,88.0,90.0,62.0,72.0,78.0,C
切积281,46.0,56.0,39.0,24.0,41.25,F
切积282,70.0,41.0,86.0,93.0,72.5,C
切积283,20.0,88.0,73.0,46.0,56.75,F
切积284,63.0,60.0,55.0,70.0,62.0,F
切积285,21.0,50.0,55.0,88.0,53.5,F
切积286,98.0,90.0,88.0,64.0,85.0,B
切积287,88.0,90.0,62.0,72.0,78.0,C
切积288,92.0,70.0,75.0,85.0,80.5,B
切积289,63.0,60.0,31.0,70.0,56.0,F
切积290,54.0,50.0,23.0,88.0,53.75,F
切积291,64.0,54.0,73.0,83.0,68.5,F
切积292,89.0,36.0,63.0,14.0,50.5,F
切积293,83.0,26.0,81.0,98.0,72.0,C
切积294,18.0,51.0,17.0,6.0,23.0,F
切积295,46.0,56.0,39.0,24.0,41.25,F
切积296,70.0,41.0,86.0,93.0,72.5,C
切积297,20.0,88.0,73.0,46.0,56.75,F
切积298,63.0,60.0,55.0,70.0,62.0,F
切积299,21.0,50.0,55.0,88.0,53.5,F
切积300,98.0,90.0,88.0,64.0,85.0,B
切积301,88.0,90.0,62.0,72.0,78.0,C
切积302,92.0,70.0,75.0,85.0,80.5,B
切积303,63.0,60.0,31.0,70.0,56.0,F
切积304,54.0,50.0,23.0,88.0,53.75,F
切积305,46.0,56.0,39.0,24.0,41.25,F
切积306,70.0,41.0,86.0,93.0,72.5,C
切积307,20.0,88.0,73.0,46.0,56.75,F
切积308,63.0,60.0,55.0,70.0,62.0,F
切积309,21.0,50.0,55.0,88.0,53.5,F
切积310,98.0,90.0,88.0,64.0,85.0,B
切积311,88.0,90.0,62.0,72.0,78.0,C
切积312,46.0,56.0,39.0,24.0,41.25,F
切积313,70.0,41.0,86.0,93.0,72.5,C
切积314,20.0,88.0,73.0,46.0,56.75,F
切积315,63.0,60.0,55.0,70.0,62.0,F
切积316,21.0,50.0,55.0,88.0,53.5,F
切积317,98.0,90.0,88.0,64.0,85.0,B
切积318,88.0,90.0,62.0,72.0,78.0,C
切积319,92.0,70.0,75.0,85.0,80.5,B
切积320,63.0,60.0,31.0,70.0,56.0,F
切积321,54.0,50.0,23.0,88.0,53.75,F
切积322,64.0,54.0,73.0,83.0,68.5,F
切积323,46.0,56.0,39.0,24.0,41.25,F
切积324,70.0,41.0,86.0,93.0,72.5,C
切积325,20.0,88.0,73.0,46.0,56.75,F
切积326,63.0,60.0,55.0,70.0,62.0,F
切积327,21.0,50.0,55.0,88.0,53.5,F
切积328,98.0,90.0,88.0,64.0,85.0,B
切积329,88.0,90.0,62.0,72.0,78.0,C
切积330,92.0,70.0,75.0,85.0,80.5,B
切积331,63.0,60.0,31.0,70.0,56.0,F
切积332,54.0,50.0,23.0,88.0,53.75,F
切积333,46.0,56.0,39.0,24.0,41.25,F
切积334,70.0,41.0,86.0,93.0,72.5,C
切积335,20.0,88.0,73.0,46.0,56.75,F
切积336,46.0,56.0,39.0,24.0,41.25,F
切积337,70.0,41.0,86.0,93.0,72.5,C
切积338,46.0,56.0,39.0,24.0,41.25,F
切积339,70.0,41.0,86.0,93.0,72.5,C
切积340,20.0,88.0,73.0,46.0,56.75,F
切积341,63.0,60.0,55.0,70.0,62.0,F
切积342,21.0,50.0,55.0,88.0,53.5,F
切积343,98.0,90.0,88.0,64.0,85.0,B
切积344,88.0,90.0,62.0,72.0,78.0,C
切积345,92.0,70.0,75.0,85.0,80.5,B
切积346,63.0,60.0,31.0,70.0,56.0,F
切积347,54.0,50.0,23.0,88.0,53.75,F
切积348,64.0,54.0,73.0,83.0,68.5,F
切积349,89.0,36.0,63.0,14.0,50.5,F
切积350,83.0,26.0,81.0,98.0,72.0,C
切积351,18.0,51.0,17.0,6.0,23.0,F
切积352,85.0,37.0,23.0,49.0,48.5,F
切积353,90.0,93.0,65.0,30.0,69.5,F
切积354,71.0,83.0,15.0,11.0,45.0,F
切积355,94.0,6.0,28.0,69.0,49.25,F
切积356,85.0,88.0,60.0,17.0,62.5,F
切积357,32.0,59.0,16.0,31.0,34.5,F
切积358,59.0,64.0,40.0,72.0,58.75,F
切积359,85.0,73.0,51.0,6.0,53.75,F
切积360,20.0,36.0,26.0,73.0,38.75,F
切积361,46.0,56.0,39.0,24.0,41.25,F
切积362,70.0,41.0,86.0,93.0,72.5,C
切积363,20.0,88.0,73.0,46.0,56.75,F
切积364,63.0,60.0,55.0,70.0,62.0,F
切积365,21.0,50.0,55.0,88.0,53.5,F
切积366,98.0,90.0,88.0,64.0,85.0,B
切积367,88.0,90.0,62.0,72.0,78.0,C
切积368,92.0,70.0,75.0,85.0,80.5,B
切积369,63.0,60.0,31.0,70.0,56.0,F
切积370,54.0,50.0,23.0,88.0,53.75,F
切积371,64.0,54.0,73.0,83.0,68.5,F
切积372,89.0,36.0,63.0,14.0,50.5,F
切积373,83.0,26.0,81.0,98.0,72.0,C
切积374,18.0,51.0,17.0,6.0,23.0,F
切积375,23.0,61.0,24.0,30.0,34.5,F
切积376,53.0,60.0,20.0,39.0,43.0,F
切积377,46.0,56.0,39.0,24.0,41.25,F
切积378,70.0,41.0,86.0,93.0,72.5,C
切积379,20.0,88.0,73.0,46.0,56.75,F
切积380,63.0,60.0,55.0,70.0,62.0,F
切积381,21.0,50.0,55.0,88.0,53.5,F
切积382,98.0,90.0,88.0,64.0,85.0,B
切积383,88.0,90.0,62.0,72.0,78.0,C
切积384,92.0,70.0,75.0,85.0,80.5,B
切积385,63.0,60.0,31.0,70.0,56.0,F
切积386,54.0,50.0,23.0,88.0,53.75,F
切积387,64.0,54.0,73.0,83.0,68.5,F
切积388,89.0,36.0,63.0,14.0,50.5,F
切积389,83.0,26.0,81.0,98.0,72.0,C
切积390,18.0,51.0,17.0,6.0,23.0,F
切积391,54.0,50.0,23.0,88.0,53.75,F
切积392,64.0,54.0,73.0,83.0,68.5,F
切积393,89.0,36.0,63.0,14.0,50.5,F
切积394,83.0,26.0,81.0,98.0,72.0,C
切积395,18.0,51.0,17.0,6.0,23.0,F
切积396,71.0,84.0,33.0,34.0,55.5,F
切积397,64.0,3.0,39.0,18.0,31.0,F
切积398,46.0,43.0,49.0,2.0,35.0,F
切积399,36.0,72.0,84.0,28.0,55.0,F
切积400,83.0,57.0,67.0,33.0,60.0,F
切积401,33.0,19.0,69.0,65.0,46.5,F
切积402,46.0,56.0,39.0,24.0,41.25,F
切积403,70.0,41.0,86.0,93.0,72.5,C
切积404,20.0,88.0,73.0,46.0,56.75,F
切积405,63.0,60.0,55.0,70.0,62.0,F
切积406,21.0,50.0,55.0,88.0,53.5,F
切积407,98.0,90.0,88.0,64.0,85.0,B
切积408,88.0,90.0,62.0,72.0,78.0,C
切积409,92.0,70.0,75.0,85.0,80.5,B
切积410,63.0,60.0,31.0,70.0,56.0,F
切积411,54.0,50.0,23.0,88.0,53.75,F
切积412,64.0,54.0,73.0,83.0,68.5,F
切积413,89.0,36.0,63.0,14.0,50.5,F
切积414,83.0,26.0,81.0,98.0,72.0,C
切积415,18.0,51.0,17.0,6.0,23.0,F
切积416,46.0,56.0,39.0,24.0,41.25,F
切积417,70.0,41.0,86.0,93.0,72.5,C
切积418,20.0,88.0,73.0,46.0,56.75,F
切积419,63.0,60.0,55.0,70.0,62.0,F
切积420,21.0,50.0,55.0,88.0,53.5,F
切积421,98.0,90.0,88.0,64.0,85.0,B
切积422,88.0,90.0,62.0,72.0,78.0,C
切积423,46.0,56.0,39.0,24.0,41.25,F
切积424,70.0,41.0,86.0,93.0,72.5,C
切积425,20.0,88.0,73.0,46.0,56.75,F
切积426,63.0,60.0,55.0,70.0,62.0,F
切积427,21.0,50.0,55.0,88.0,53.5,F
切积428,98.0,90.0,88.0,64.0,85.0,B
切积429,88.0,90.0,62.0,72.0,78.0,C
切积430,92.0,70.0,75.0,85.0,80.5,B
切积431,63.0,60.0,31.0,70.0,56.0,F
切积432,54.0,50.0,23.0,88.0,53.75,F
切积433,64.0,54.0,73.0,83.0,68.5,F
切积434,89.0,36.0,63.0,14.0,50.5,F
切积435,83.0,26.0,81.0,98.0,72.0,C
切积436,18.0,51.0,17.0,6.0,23.0,F
切积437,46.0,56.0,39.0,24.0,41.25,F
切积438,70.0,41.0,86.0,93.0,72.5,C
切积439,20.0,88.0,73.0,46.0,56.75,F
切积440,63.0,60.0,55.0,70.0,62.0,F
切积441,21.0,50.0,55.0,88.0,53.5,F
切积442,98.0,90.0,88.0,64.0,85.0,B
切积443,88.0,90.0,62.0,72.0,78.0,C
切积444,92.0,70.0,75.0,85.0,80.5,B
切积445,63.0,60.0,31.0,70.0,56.0,F
切积446,54.0,50.0,23.0,88.0,53.75,F
切积447,64.0,54.0,73.0,83.0,68.5,F
切积448,89.0,36.0,63.0,14.0,50.5,F
切积449,83.0,26.0,81.0,98.0,72.0,C
切积450,18.0,51.0,17.0,6.0,23.0,F
切积451,69.0,66.0,39.0,59.0,58.25,F
切积452,25.0,19.0,37.0,45.0,31.5,F
切积453,21.0,82.0,20.0,20.0,35.75,F
切积454,7.0,11.0,57.0,74.0,37.25,F
切积455,23.0,32.0,52.0,99.0,51.5,F
切积456,97.0,87.0,30.0,66.0,70.0,C
切积457,53.0,32.0,23.0,28.0,34.0,F
切积458,14.0,45.0,73.0,30.0,40.5,F
切积459,12.0,52.0,44.0,37.0,36.25,F
切积460,46.0,56.0,39.0,24.0,41.25,F
切积461,70.0,41.0,86.0,93.0,72.5,C
切积462,20.0,88.0,73.0,46.0,56.75,F
切积463,63.0,60.0,55.0,70.0,62.0,F
切积464,21.0,50.0,55.0,88.0,53.5,F
切积465,98.0,90.0,88.0,64.0,85.0,B
切积466,88.0,90.0,62.0,72.0,78.0,C
切积467,92.0,70.0,75.0,85.0,80.5,B
切积468,63.0,60.0,31.0,70.0,56.0,F
切积469,54.0,50.0,23.0,88.0,53.75,F
切积470,64.0,54.0,73.0,83.0,68.5,F
切积471,89.0,36.0,63.0,14.0,50.5,F
切积472,83.0,26.0,81.0,98.0,72.0,C
切积473,18.0,51.0,17.0,6.0,23.0,F
切积474,75.0,38.0,94.0,50.0,64.25,F
切积475,58.0,74.0,56.0,27.0,53.75,F
切积476,52.0,86.0,55.0,51.0,61.0,F
切积477,62.0,24.0,72.0,24.0,45.5,F
切积478,71.0,21.0,21.0,89.0,50.5,F
切积479,95.0,67.0,17.0,86.0,66.25,F
切积480,62.0,71.0,88.0,95.0,79.0,C
切积481,46.0,56.0,39.0,24.0,41.25,F
切积482,70.0,41.0,86.0,93.0,72.5,C
切积483,20.0,88.0,73.0,46.0,56.75,F
切积484,63.0,60.0,55.0,70.0,62.0,F
切积485,21.0,50.0,55.0,88.0,53.5,F
切积486,98.0,90.0,88.0,64.0,85.0,B
切积487,46.0,56.0,39.0,24.0,41.25,F
切积488,70.0,41.0,86.0,93.0,72.5,C
切积489,20.0,88.0,73.0,46.0,56.75,F
切积490,63.0,60.0,55.0,70.0,62.0,F
切积491,21.0,50.0,55.0,88.0,53.5,F
切积492,98.0,90.0,88.0,64.0,85.0,B
切积493,88.0,90.0,62.0,72.0,78.0,C
切积494,92.0,70.0,75.0,85.0,80.5,B
切积495,63.0,60.0,31.0,70.0,56.0,F
切积496,54.0,50.0,23.0,88.0,53.75,F
切积497,64.0,54.0,73.0,83.0,68.5,F
切积498,89.0,36.0,63.0,14.0,50.5,F
切积499,83.0,26.0,81.0,98.0,72.0,C
切积500,18.0,51.0,17.0,6.0,23.0,F
切积501,98.0,57.06990788126919,88.0,64.0,76.76747697031729,C
切积502,88.0,90.0,62.0,72.0,78.0,C
切积503,92.0,70.0,56.16032972694487,60.420972335231895,69.64532551554419,F
切积504,63.0,60.0,31.0,70.0,56.0,F
切积505,100.0,50.0,56.16032972694487,88.0,73.54008243173621,C
切积506,98.0,57.06990788126919,88.0,64.0,76.76747697031729,C
切积507,88.0,90.0,62.0,72.0,78.0,C
切积508,92.0,70.0,56.16032972694487,60.420972335231895,69.64532551554419,F
切积509,63.0,60.0,31.0,70.0,56.0,F
切积510,100.0,50.0,56.16032972694487,88.0,73.54008243173621,C
切积511,56.0,49.0,90.0,44.0,59.75,F
切积512,34.0,28.0,16.0,0.0,19.5,F
切积513,37.0,13.0,9.0,41.0,25.0,F
切积514,14.0,17.0,21.0,77.0,32.25,F
切积515,37.0,20.0,3.0,77.0,34.25,F
切积516,19.0,97.0,28.0,77.0,55.25,F
切积517,57.0,85.0,33.0,84.0,64.75,F
切积518,10.0,21.0,67.0,54.0,38.0,F
切积519,79.0,74.0,14.0,59.0,56.5,F
切积520,96.0,67.0,66.0,48.0,69.25,F
切积521,46.0,25.0,54.0,56.0,45.25,F
切积522,66.0,32.0,77.0,24.0,49.75,F
切积523,46.0,25.0,2.0,12.0,21.25,F
切积524,26.0,10.0,49.0,74.0,39.75,F
切积525,97.0,68.0,65.0,33.0,65.75,F
切积526,86.0,70.0,99.0,45.0,75.0,C
